PLANT,LAT,LONG
CAST,37.46689,-77.447
AHOS,36.286822,-76.984681
ALBE,35.8546,-77.0555
ALEX,38.804836,-77.046921
ALTA,37.1118,-79.2856
BLUE,38.149593,-79.072556
CHAR,38.029305,-78.476677
CHES,36.768208,-76.287491
CHUC,36.728191,-76.583191
ELIZ,36.3022,-76.223228
EMER,37.46689,-77.447
ERIC,37.540726,-77.43605
FAIR,38.846226,-77.306374
FARM,37.302097,-78.391937
FISH,38.099,-78.9692
FRED,38.3032,-77.4605
GLOU,37.445229,-76.559448
HERN,38.96973,-77.383873
KHWK,36.066422,-75.693481
LEES,39.108002,-77.550636
MIDL,37.503651,-77.651749
MILL,41.7658,-72.6734
NNCK,37.777639,-76.513563
NORF,36.850769,-76.285873
ORAN,38.249035,-78.013983
PENI,37.028271,-76.342339
PETE,37.205502,-77.387642
RICH,37.540726,-77.43605
ROAN,36.456039,-77.657227
ROCK,37.780941,-79.446564
SBOS,36.698749,-78.901399
SHEN,38.881778,-78.505843
SMTR,37.46689,-77.447
SPRI,38.785809,-77.187248
SSID,36.726545,-78.129131
VBCH,36.852924,-75.977982
WARR,38.71384,-77.795563
WILL,37.270702,-76.707458
WOOD,38.66346,-77.245651
